,år,område,sektor,jobtype,numbers
181,2007,nordsjaelland,oevrige,elev,529
182,2007,nordsjaelland,oevrige,forsvar,0
183,2007,nordsjaelland,oevrige,frivilligt,58
184,2007,nordsjaelland,oevrige,student,469
185,2007,nordsjaelland,oevrige,studiepraktik,3
186,2007,nordsjaelland,oevrige,oevrige,964
187,2007,nordsjaelland,oevrige,kurseroevrige,0
188,2007,region-sjaelland,it,database,8
189,2007,region-sjaelland,it,itdrift,277
190,2007,region-sjaelland,it,itkurser,2
191,2007,region-sjaelland,it,itledelse,86
192,2007,region-sjaelland,it,internet,36
193,2007,region-sjaelland,it,systemudvikling,579
194,2007,region-sjaelland,it,telekom,42
195,2007,region-sjaelland,it,virksomhedssystemer,71
196,2007,region-sjaelland,ingenioer,byggeteknik,721
197,2007,region-sjaelland,ingenioer,elektronik,291
198,2007,region-sjaelland,ingenioer,kemi,367
199,2007,region-sjaelland,ingenioer,teknikledelse,171
200,2007,region-sjaelland,ingenioer,maskiningenioer,464
201,2007,region-sjaelland,ingenioer,medicinal,178
202,2007,region-sjaelland,ingenioer,produktionsteknik,364
203,2007,region-sjaelland,ledelse,detailledelse,0
204,2007,region-sjaelland,ledelse,freelancekonsulent,26
205,2007,region-sjaelland,ledelse,hrkurser,0
206,2007,region-sjaelland,ledelse,itledelse,86
207,2007,region-sjaelland,ledelse,institutions,563
208,2007,region-sjaelland,ledelse,leder,632
209,2007,region-sjaelland,ledelse,teknikledelse,171
210,2007,region-sjaelland,ledelse,personale,216
211,2007,region-sjaelland,ledelse,projektledelse,299
212,2007,region-sjaelland,ledelse,salgschef,284
213,2007,region-sjaelland,ledelse,topledelse,37
214,2007,region-sjaelland,ledelse,virksomhedsudvikling,0
215,2007,region-sjaelland,ledelse,oekonomichef,101
216,2007,region-sjaelland,handel,bud,299
217,2007,region-sjaelland,handel,boernepasning,92
218,2007,region-sjaelland,handel,detailhandel,4179
219,2007,region-sjaelland,handel,ejendomsservice,233
220,2007,region-sjaelland,handel,frisoer,197
221,2007,region-sjaelland,handel,hotel,1670
222,2007,region-sjaelland,handel,rengoering,1559
223,2007,region-sjaelland,handel,service,547
224,2007,region-sjaelland,handel,sikkerhed,199
225,2007,region-sjaelland,industri,blik,464
