,n_jobtype_area_,n_year,n_sektor_area,n_area,jobtype,sektor,area,year
264,38,380597,4614,38163,oversaettelse,kontor,region-sjaelland,2007
265,494,380597,4614,38163,sekretaer,kontor,region-sjaelland,2007
266,1227,380597,4614,38163,oekonomi,kontor,region-sjaelland,2007
267,587,380597,6491,38163,laege,social,region-sjaelland,2007
268,455,380597,6491,38163,laegesekretaer,social,region-sjaelland,2007
269,2470,380597,6491,38163,pleje,social,region-sjaelland,2007
270,231,380597,6491,38163,psykologi,social,region-sjaelland,2007
271,367,380597,6491,38163,socialraadgivning,social,region-sjaelland,2007
272,216,380597,6491,38163,tandlaege,social,region-sjaelland,2007
273,101,380597,6491,38163,teknisksundhed,social,region-sjaelland,2007
274,326,380597,6491,38163,terapi,social,region-sjaelland,2007
275,802,380597,2634,38163,elev,oevrige,region-sjaelland,2007
276,0,380597,2634,38163,forsvar,oevrige,region-sjaelland,2007
277,48,380597,2634,38163,frivilligt,oevrige,region-sjaelland,2007
278,307,380597,2634,38163,student,oevrige,region-sjaelland,2007
279,2,380597,2634,38163,studiepraktik,oevrige,region-sjaelland,2007
280,1378,380597,2634,38163,oevrige,oevrige,region-sjaelland,2007
281,2,380597,2634,38163,kurseroevrige,oevrige,region-sjaelland,2007
282,15,380597,748,24824,database,it,fyn,2007
283,239,380597,748,24824,itdrift,it,fyn,2007
284,1,380597,748,24824,itkurser,it,fyn,2007
285,70,380597,748,24824,itledelse,it,fyn,2007
286,57,380597,748,24824,internet,it,fyn,2007
287,386,380597,748,24824,systemudvikling,it,fyn,2007
288,39,380597,748,24824,telekom,it,fyn,2007
289,75,380597,748,24824,virksomhedssystemer,it,fyn,2007
290,525,380597,1523,24824,byggeteknik,ingenioer,fyn,2007
291,241,380597,1523,24824,elektronik,ingenioer,fyn,2007
292,207,380597,1523,24824,kemi,ingenioer,fyn,2007
293,124,380597,1523,24824,teknikledelse,ingenioer,fyn,2007
294,331,380597,1523,24824,maskiningenioer,ingenioer,fyn,2007
295,112,380597,1523,24824,medicinal,ingenioer,fyn,2007
296,272,380597,1523,24824,produktionsteknik,ingenioer,fyn,2007
297,0,380597,1591,24824,detailledelse,ledelse,fyn,2007
298,23,380597,1591,24824,freelancekonsulent,ledelse,fyn,2007
299,5,380597,1591,24824,hrkurser,ledelse,fyn,2007
300,70,380597,1591,24824,itledelse,ledelse,fyn,2007
