,year,area,sektor,jobtype,n_jobtype_area_,n_sektor_area,n_area,n_year
115,2007,nordsjaelland,ledelse,teknikledelse,143,2138,26694,380597
116,2007,nordsjaelland,ledelse,personale,237,2138,26694,380597
117,2007,nordsjaelland,ledelse,projektledelse,381,2138,26694,380597
118,2007,nordsjaelland,ledelse,salgschef,223,2138,26694,380597
119,2007,nordsjaelland,ledelse,topledelse,25,2138,26694,380597
120,2007,nordsjaelland,ledelse,virksomhedsudvikling,0,2138,26694,380597
121,2007,nordsjaelland,ledelse,oekonomichef,79,2138,26694,380597
122,2007,nordsjaelland,handel,bud,383,5796,26694,380597
123,2007,nordsjaelland,handel,boernepasning,45,5796,26694,380597
124,2007,nordsjaelland,handel,detailhandel,3104,5796,26694,380597
126,2007,nordsjaelland,handel,frisoer,67,5796,26694,380597
127,2007,nordsjaelland,handel,hotel,1157,5796,26694,380597
128,2007,nordsjaelland,handel,rengoering,644,5796,26694,380597
129,2007,nordsjaelland,handel,service,345,5796,26694,380597
130,2007,nordsjaelland,handel,sikkerhed,95,5796,26694,380597
131,2007,nordsjaelland,industri,blik,190,3731,26694,380597
132,2007,nordsjaelland,industri,byggeri,351,3731,26694,380597
133,2007,nordsjaelland,industri,elektriker,264,3731,26694,380597
134,2007,nordsjaelland,industri,industri,594,3731,26694,380597
135,2007,nordsjaelland,industri,jern,473,3731,26694,380597
136,2007,nordsjaelland,industri,lager,550,3731,26694,380597
137,2007,nordsjaelland,industri,landbrug,173,3731,26694,380597
138,2007,nordsjaelland,industri,maling,68,3731,26694,380597
139,2007,nordsjaelland,industri,mekanik,343,3731,26694,380597
140,2007,nordsjaelland,industri,naeringsmiddel,314,3731,26694,380597
141,2007,nordsjaelland,industri,tekstil,41,3731,26694,380597
142,2007,nordsjaelland,industri,transport,544,3731,26694,380597
143,2007,nordsjaelland,industri,traeindustri,34,3731,26694,380597
144,2007,nordsjaelland,industri,toemrer,183,3731,26694,380597
145,2007,nordsjaelland,salg,design,33,1846,26694,380597
147,2007,nordsjaelland,salg,grafisk,185,1846,26694,380597
148,2007,nordsjaelland,salg,kommunikation,99,1846,26694,380597
149,2007,nordsjaelland,salg,kultur,54,1846,26694,380597
150,2007,nordsjaelland,salg,marketing,281,1846,26694,380597
151,2007,nordsjaelland,salg,salg,970,1846,26694,380597
152,2007,nordsjaelland,salg,salgskurser,0,1846,26694,380597
153,2007,nordsjaelland,salg,franchise,3,1846,26694,380597
154,2007,nordsjaelland,salg,telemarketing,42,1846,26694,380597
155,2007,nordsjaelland,undervisning,bibliotek,76,4792,26694,380597
156,2007,nordsjaelland,undervisning,forskning,557,4792,26694,380597
157,2007,nordsjaelland,undervisning,laerer,977,4792,26694,380597
158,2007,nordsjaelland,undervisning,paedagog,2925,4792,26694,380597
159,2007,nordsjaelland,kontor,akademisk,0,4541,26694,380597
160,2007,nordsjaelland,kontor,ejendomsmaegler,53,4541,26694,380597
161,2007,nordsjaelland,kontor,ejendomsservice,206,4541,26694,380597
162,2007,nordsjaelland,kontor,finans,572,4541,26694,380597
163,2007,nordsjaelland,kontor,indkoeb,182,4541,26694,380597
164,2007,nordsjaelland,kontor,jura,129,4541,26694,380597
165,2007,nordsjaelland,kontor,kontor,1267,4541,26694,380597
166,2007,nordsjaelland,kontor,kontorkurser,0,4541,26694,380597
167,2007,nordsjaelland,kontor,kontorelev,97,4541,26694,380597
168,2007,nordsjaelland,kontor,logistik,143,4541,26694,380597
169,2007,nordsjaelland,kontor,offentlig,333,4541,26694,380597
170,2007,nordsjaelland,kontor,oversaettelse,43,4541,26694,380597
171,2007,nordsjaelland,kontor,sekretaer,542,4541,26694,380597
172,2007,nordsjaelland,kontor,oekonomi,1340,4541,26694,380597
173,2007,nordsjaelland,social,laege,211,3371,26694,380597
174,2007,nordsjaelland,social,laegesekretaer,188,3371,26694,380597
175,2007,nordsjaelland,social,pleje,1333,3371,26694,380597
176,2007,nordsjaelland,social,psykologi,129,3371,26694,380597
177,2007,nordsjaelland,social,socialraadgivning,301,3371,26694,380597
178,2007,nordsjaelland,social,tandlaege,114,3371,26694,380597
179,2007,nordsjaelland,social,teknisksundhed,39,3371,26694,380597
180,2007,nordsjaelland,social,terapi,205,3371,26694,380597
181,2007,nordsjaelland,oevrige,elev,529,2105,26694,380597
182,2007,nordsjaelland,oevrige,forsvar,0,2105,26694,380597
183,2007,nordsjaelland,oevrige,frivilligt,58,2105,26694,380597
184,2007,nordsjaelland,oevrige,student,469,2105,26694,380597
185,2007,nordsjaelland,oevrige,studiepraktik,3,2105,26694,380597
186,2007,nordsjaelland,oevrige,oevrige,964,2105,26694,380597
187,2007,nordsjaelland,oevrige,kurseroevrige,0,2105,26694,380597
188,2007,region-sjaelland,it,database,8,984,38163,380597
189,2007,region-sjaelland,it,itdrift,277,984,38163,380597
190,2007,region-sjaelland,it,itkurser,2,984,38163,380597
192,2007,region-sjaelland,it,internet,36,984,38163,380597
193,2007,region-sjaelland,it,systemudvikling,579,984,38163,380597
194,2007,region-sjaelland,it,telekom,42,984,38163,380597
195,2007,region-sjaelland,it,virksomhedssystemer,71,984,38163,380597
196,2007,region-sjaelland,ingenioer,byggeteknik,721,2189,38163,380597
197,2007,region-sjaelland,ingenioer,elektronik,291,2189,38163,380597
198,2007,region-sjaelland,ingenioer,kemi,367,2189,38163,380597
200,2007,region-sjaelland,ingenioer,maskiningenioer,464,2189,38163,380597
201,2007,region-sjaelland,ingenioer,medicinal,178,2189,38163,380597
202,2007,region-sjaelland,ingenioer,produktionsteknik,364,2189,38163,380597
203,2007,region-sjaelland,ledelse,detailledelse,0,2321,38163,380597
204,2007,region-sjaelland,ledelse,freelancekonsulent,26,2321,38163,380597
205,2007,region-sjaelland,ledelse,hrkurser,0,2321,38163,380597
206,2007,region-sjaelland,ledelse,itledelse,86,2321,38163,380597
207,2007,region-sjaelland,ledelse,institutions,563,2321,38163,380597
208,2007,region-sjaelland,ledelse,leder,632,2321,38163,380597
209,2007,region-sjaelland,ledelse,teknikledelse,171,2321,38163,380597
210,2007,region-sjaelland,ledelse,personale,216,2321,38163,380597
211,2007,region-sjaelland,ledelse,projektledelse,299,2321,38163,380597
212,2007,region-sjaelland,ledelse,salgschef,284,2321,38163,380597
213,2007,region-sjaelland,ledelse,topledelse,37,2321,38163,380597
214,2007,region-sjaelland,ledelse,virksomhedsudvikling,0,2321,38163,380597
215,2007,region-sjaelland,ledelse,oekonomichef,101,2321,38163,380597
216,2007,region-sjaelland,handel,bud,299,8629,38163,380597
217,2007,region-sjaelland,handel,boernepasning,92,8629,38163,380597
218,2007,region-sjaelland,handel,detailhandel,4179,8629,38163,380597
220,2007,region-sjaelland,handel,frisoer,197,8629,38163,380597
221,2007,region-sjaelland,handel,hotel,1670,8629,38163,380597
222,2007,region-sjaelland,handel,rengoering,1559,8629,38163,380597
223,2007,region-sjaelland,handel,service,547,8629,38163,380597
224,2007,region-sjaelland,handel,sikkerhed,199,8629,38163,380597
225,2007,region-sjaelland,industri,blik,464,8159,38163,380597
226,2007,region-sjaelland,industri,byggeri,866,8159,38163,380597
227,2007,region-sjaelland,industri,elektriker,626,8159,38163,380597
228,2007,region-sjaelland,industri,industri,840,8159,38163,380597
229,2007,region-sjaelland,industri,jern,1018,8159,38163,380597
230,2007,region-sjaelland,industri,lager,953,8159,38163,380597
231,2007,region-sjaelland,industri,landbrug,449,8159,38163,380597
232,2007,region-sjaelland,industri,maling,177,8159,38163,380597
233,2007,region-sjaelland,industri,mekanik,869,8159,38163,380597
234,2007,region-sjaelland,industri,naeringsmiddel,532,8159,38163,380597
